scooter_id,service_area,scooter_model,total_trips_24h,battery_health_score,reported_issue_count_24h,taken_out_of_service
SC00161,university,QX1010,9,78.2,5,0
SC00162,city center,QX3000,5,87.5,0,0
SC00163,university,QX1010,3,77.2,0,0
SC00164,downtown,QX1010,10,87.7,0,0
SC00165,residential,QX2080,7,77.8,0,0
SC00166,downtown,QX1010,5,78.6,3,0
SC00167,residential,QX3000,1,82.3,0,0
SC00168,residential,QX3000,2,84.1,0,0
SC00169,city center,QX1010,10,81.6,3,0
SC00170,university,QX3000,5,85.5,0,0
SC00171,city center,QX1010,6,80.9,2,0
SC00172,waterfront,QX2080,0,78.5,0,0
SC00173,residential,QX1010,7,73.9,0,0
SC00174,city center,QX3000,5,80.1,0,0
SC00175,downtown,QX1010,10,81.9,6,0
SC00176,downtwon,QX1010,9,84.4,4,0
SC00177,city center,QX1010,5,88.8,0,0
SC00178,waterfront,QX3000,2,86.4,0,0
SC00179,residential,QX3000,na,88.1,0,0
SC00180,downtown,QX2080,6,78.3,0,0
SC00181,residential,QX3000,6,68.4,0,0
SC00182,city center,QX3000,na,81.4,1,0
SC00183,residential,QX2080,5,,2,0
SC00184,downtown,QX1010,9,70,0,0
SC00185,university,QX2080,na,74.1,0,0
SC00186,waterfront,QX2080,5,81.6,0,0
SC00187,downtown,QX1010,8,70,0,0
SC00188,university,QX1010,10,72,0,0
SC00189,waterfront,QX2080,na,95.3,3,0
SC00190,downtwon,QX1010,9,65.2,0,1
SC00191,downtown,QX3000,11,77.6,0,0
SC00192,university,QX1010,8,69.7,0,0
SC00193,city center,QX1010,5,,0,0
SC00194,downtown,QX3000,3,83.9,2,0
SC00195,city center,QX1010,3,75.2,1,0
SC00196,residential,QX1010,5,86.9,3,0
SC00197,city center,QX2080,7,90.4,2,0
SC00198,city center,QX3000,4,92,0,0
SC00199,residential,QX1010,5,90.7,1,0
SC00200,university,QX1010,7,68.7,3,1
SC00201,residential,QX2080,6,77.6,0,0
SC00202,city center,QX3000,6,87.2,0,0
SC00203,waterfront,QX2080,7,86.3,2,0
SC00204,university,QX1010,3,98.5,2,0
SC00205,downtown,QX1010,8,88.7,0,0
SC00206,residential,QX1010,3,91.2,1,0
SC00207,city center,QX1010,7,100,2,0
SC00208,downtown,QX2080,7,79.7,1,0
SC00209,downtown,QX1010,7,77.9,0,0
SC00210,university,QX2080,7,80.4,0,0
SC00211,downtown,QX2080,7,71.1,-4,0
SC00212,city center,QX2080,9,77.9,0,0
SC00213,downtown,QX1010,na,62.5,0,1
SC00214,city center,QX3000,7,77.9,1,0
SC00215,city center,QX2080,5,79.5,0,0
SC00216,university,QX2080,6,87.8,0,0
SC00217,downtown,QX1010,na,88.2,2,1
SC00218,downtown,QX1010,7,72.2,0,0
SC00219,university,QX3000,8,99.2,2,0
SC00220,city center,QX1010,1,86.5,0,0
SC00221,university,QX1010,8,,0,0
SC00222,downtown,QX2080,8,64.3,0,0
SC00223,downtown,QX2080,3,76.8,0,1
SC00224,downtown,QX3000,4,93.7,0,0
SC00225,city center,QX1010,3,85,1,0
SC00226,city center,QX3000,10,80.9,5,0
SC00227,residential,QX1010,4,84.7,0,0
SC00228,city center,QX2080,na,69.8,0,0
SC00229,university,QX2080,na,80.5,1,1
SC00230,university,QX1010,6,93.2,0,0
SC00231,downtown,QX1010,4,92,0,1
SC00232,university,QX1010,3,82.5,0,0
SC00233,city center,QX3000,8,94.9,0,0
SC00234,city center,QX2080,4,70.6,0,0
SC00235,downtown,QX3000,6,74.9,0,0
SC00236,residential,QX3000,3,100,3,0
SC00237,waterfront,QX2080,6,,0,0
SC00238,downtown,QX2080,6,77.2,0,0
SC00239,university,QX1010,16,72.7,0,0
SC00240,residential,QX1010,3,76.7,0,0
SC00241,city center,QX3000,10,82.4,1,1
SC00242,residential,QX2080,4,83,1,0
SC00243,university,QX1010,4,83,3,0
SC00244,waterfront,QX2080,2,73,0,0
SC00245,waterfront,QX2080,3,84.4,0,0
SC00246,downtown,QX3000,5,79.5,0,0
SC00247,city center,QX2080,3,73.7,0,0
SC00248,university,QX1010,8,90.4,0,0
SC00249,downtown,QX1010,9,97.2,0,0
SC00250,city center,QX1010,8,96.1,0,0
SC00251,waterfront,QX2080,6,85.2,0,0
SC00252,downtown,QX3000,9,78.5,0,0
SC00253,city center,QX2080,6,79.1,0,0
SC00254,residential,QX1010,5,85.4,0,0
SC00255,city center,QX1010,4,79.2,1,0
SC00256,city center,QX2080,9,88.5,0,0
SC00257,waterfront,QX3000,0,70.7,0,0
SC00258,city center,QX1010,6,78.7,0,0
SC00259,downtown,QX1010,7,87.2,0,0
SC00260,downtown,QX2080,5,73.3,2,1
SC00261,waterfront,QX1010,2,82.4,0,0
SC00262,downtown,QX3000,13,82.6,2,0
SC00263,university,QX1010,9,91.7,2,0
SC00264,downtown,QX1010,5,71,0,1
SC00265,city center,QX3000,5,72.4,2,0
SC00266,waterfront,QX1010,2,76.4,1,0
SC00267,university,QX1010,6,,3,0
SC00268,waterfront,QX1010,1,72.7,0,1
SC00269,downtown,QX1010,8,71.3,3,1
SC00270,university,QX1010,0,96.5,0,0
SC00271,residential,QX1010,6,78.5,0,0
SC00272,city center,QX1010,8,79.9,2,0
SC00273,downtown,QX1010,4,74.7,0,0
SC00274,residential,QX2080,5,85.9,0,0
SC00275,city center,QX2080,5,96.4,0,0
SC00276,university,QX1010,6,73.7,0,0
SC00277,waterfront,QX1010,4,97.5,0,0
SC00278,downtown,QX2080,12,78,0,0
SC00279,city center,QX3000,11,79.3,0,0
SC00280,downtown,QX3000,9,84.2,2,0
SC00281,city center,QX1010,5,85.3,0,0
SC00282,downtown,QX1010,4,98.6,2,0
SC00283,university,QX1010,11,81.6,0,0
SC00284,downtown,QX1010,8,84.2,2,1
SC00285,university,QX2080,10,72.9,3,1
SC00286,downtown,QX1010,5,89.1,2,0
SC00287,city center,QX1010,8,71.5,0,0
SC00288,city center,QX1010,4,83.7,0,0
SC00289,residential,QX2080,4,100,2,0
SC00290,city center,QX1010,4,61.5,3,0
SC00291,city center,QX3000,5,86,0,0
SC00292,residential,QX1010,6,83.5,0,0
SC00293,university,QX3000,7,80.5,2,1
SC00294,downtown,QX1010,6,79.5,0,0
SC00295,waterfront,QX3000,1,88,4,0
SC00296,city center,QX3000,11,77.1,1,1
SC00297,downtown,QX3000,8,83.5,0,0
SC00298,city center,QX3000,5,79.9,0,0
SC00299,downtown,QX2080,9,94.5,0,0
SC00300,downtown,QX2080,7,76.8,0,1
SC00301,residential,QX2080,5,85.3,0,0
SC00302,downtown,QX1010,6,75.5,2,0
SC00303,residential,QX2080,7,86.8,0,0
SC00304,waterfront,QX2080,5,86.7,3,0
SC00305,university,QX3000,9,84.4,3,0
SC00306,residential,QX2080,5,71.8,1,0
SC00307,residential,QX1010,3,77.2,0,1
SC00308,waterfront,QX2080,2,97.2,0,0
SC00309,city center,QX1010,8,73.1,2,1
SC00310,downtown,QX1010,8,85,0,0
SC00311,university,QX2080,13,66.1,0,1
SC00312,university,QX1010,7,89,0,0
SC00313,downtown,QX1010,11,71.4,0,0
SC00314,university,QX1010,10,69.8,3,1
SC00315,downtown,QX1010,8,73.5,0,0
SC00316,waterfront,QX1010,3,78.9,-3,0
SC00317,downtown,QX1010,9,82.2,0,0
SC00318,downtown,QX2080,6,80.3,0,0
SC00319,downtown,QX1010,7,71.1,0,0
SC00320,downtown,QX3000,7,82.2,3,0
SC00321,downtown,QX3000,5,74.3,2,1
SC00322,downtown,QX2080,na,82.8,3,0
SC00323,downtown,QX1010,4,89.8,0,0
SC00324,downtown,QX2080,8,77.9,0,0
SC00325,city center,QX3000,2,88.7,0,0
SC00326,city center,QX2080,7,93.8,2,0
SC00327,city center,QX3000,7,81.1,3,0
SC00328,city center,QX2080,3,74.1,3,0
SC00329,downtown,QX2080,9,82.2,0,0
SC00330,downtown,QX1010,9,69.2,0,0
SC00331,downtown,QX2080,4,79.5,2,0
SC00332,residential,QX1010,6,76.1,0,0
SC00333,waterfront,QX2080,3,76.1,3,0
SC00334,waterfront,QX3000,2,84.3,2,0
SC00335,university,QX1010,6,88.8,0,0
SC00336,university,QX2080,8,87.5,2,0
SC00337,city center,QX1010,8,87.5,3,0
SC00338,residential,QX2080,3,85,1,0
SC00339,residential,QX1010,6,79,0,0
SC00340,residential,QX3000,6,63.2,0,0
SC00341,residential,QX1010,6,84.3,3,0
SC00342,city center,QX3000,3,66.2,0,0
SC00343,residential,QX3000,1,70.9,0,0
SC00344,residential,QX2080,9,75.9,0,0
SC00345,city center,QX2080,5,82.7,0,0
SC00346,waterfront,QX2080,0,80.7,3,1
SC00347,downtown,QX3000,7,95.5,0,0
SC00348,waterfront,QX1010,5,85.9,0,0
SC00349,residential,QX2080,5,78.4,0,0
SC00350,downtown,QX1010,2,96.2,0,0
SC00351,university,QX2080,10,,0,0
SC00352,downtown,QX1010,4,87.2,0,0
SC00353,residential,QX2080,5,73.9,0,1
SC00354,residential,QX2080,2,78.2,0,0
SC00355,university,QX2080,5,68.2,5,0
SC00356,residential,QX2080,3,81.7,0,0
SC00357,downtown,QX2080,8,69.2,0,0
SC00358,downtown,QX2080,9,74.5,0,0
SC00359,city center,QX2080,7,81.1,2,0
SC00360,downtown,QX2080,1,66.8,0,0
SC00361,city center,QX3000,5,73.3,0,0
SC00362,downtown,QX1010,3,79.3,3,1
SC00363,city center,QX1010,7,80,1,0
SC00364,city center,QX1010,3,79.4,0,0
SC00365,residential,QX2080,9,75,0,0
SC00366,downtown,QX1010,4,76.8,2,0
SC00367,residential,QX2080,0,72.2,0,0
SC00368,city center,QX2080,12,70.4,2,0
SC00369,city center,QX1010,8,77.8,0,1
SC00370,university,QX3000,10,77.4,2,0
SC00371,city center,QX2080,4,82.3,1,0
SC00372,downtown,QX1010,7,,2,0
SC00373,university,QX1010,5,87.8,0,0
SC00374,downtown,QX1010,8,74.2,2,1
SC00375,city center,QX1010,5,68.6,0,0
SC00376,university,QX1010,8,90.4,0,0
SC00377,city center,QX3000,6,86.5,3,0
SC00378,residential,QX1010,2,76.3,0,0
SC00379,downtown,QX1010,11,79.6,2,0
SC00380,waterfront,QX2080,2,92,0,0
SC00381,residential,QX2080,2,97.6,0,0
SC00382,waterfront,QX3000,3,87.7,0,0
SC00383,residential,QX2080,2,91.9,0,0
SC00384,downtown,QX2080,4,,0,0
SC00385,university,QX1010,7,80.1,0,0
SC00386,downtown,QX3000,13,74.8,4,0
SC00387,residential,QX2080,5,83.4,2,0
SC00388,university,QX3000,7,96.1,1,0
SC00389,downtown,QX1010,12,78.5,0,0
SC00390,waterfront,QX3000,4,76.8,0,0
SC00391,downtown,QX2080,9,66.6,2,1
SC00392,university,QX1010,15,88,0,0
SC00393,residential,QX2080,6,84.1,0,0
SC00394,downtown,QX2080,9,81.1,2,0
SC00395,university,QX1010,9,75.9,0,0
SC00396,residential,QX2080,5,82.8,2,0
SC00397,downtown,QX3000,na,74,0,0
SC00398,university,QX1010,6,84.5,0,0
SC00399,downtown,QX2080,7,68.9,0,1
SC00400,university,QX1010,9,75.7,3,1
SC00401,downtown,QX1010,5,76.5,0,0
SC00402,waterfront,QX3000,2,58.7,2,1
SC00403,residential,QX2080,4,78.4,0,1
SC00404,downtown,QX1010,10,70.4,4,1
SC00405,city center,QX3000,8,79.8,0,0
SC00406,university,QX3000,11,79.2,0,0
SC00407,residential,QX1010,7,95.4,3,0
SC00408,city center,QX3000,4,87.4,1,0
SC00409,downtown,QX1010,10,80.8,1,0
SC00410,downtown,QX3000,6,87.4,0,0
SC00411,waterfront,QX2080,4,88.7,1,0
SC00412,city center,QX2080,4,85.2,0,0
SC00413,residential,QX1010,na,85.2,2,0
SC00414,city center,QX3000,8,87.6,0,0
SC00415,waterfront,QX1010,0,65.4,0,0
SC00416,downtown,QX1010,5,99.8,0,0
SC00417,downtown,QX1010,6,94.7,0,0
SC00418,waterfront,QX2080,2,84.7,0,0
SC00419,waterfront,QX1010,5,70,1,0
SC00420,city center,QX3000,6,93.5,1,0
SC00421,city center,QX2080,5,74.6,0,0
SC00422,city center,QX1010,7,84.9,0,0
SC00423,city center,QX1010,15,63.1,1,0
SC00424,downtown,QX1010,4,100,1,0
SC00425,residential,QX2080,8,65.8,0,0
SC00426,downtown,QX3000,4,85.4,1,0
SC00427,residential,QX1010,2,66.4,0,0
SC00428,downtown,QX3000,5,83.6,2,0
SC00429,downtown,QX1010,8,76,2,0
SC00430,university,QX3000,3,95.3,0,0
SC00431,city center,QX3000,5,80.4,0,0
SC00432,university,QX2080,7,88.6,2,0
SC00433,downtown,QX2080,6,71,0,1
SC00434,waterfront,QX3000,2,84,0,0
SC00435,residential,QX1010,2,82.2,0,0
SC00436,residential,QX1010,9,83,2,0
SC00437,downtown,QX1010,10,81.1,0,0
SC00438,city center,QX2080,7,85,0,0
SC00439,city center,QX2080,11,78,1,1
SC00440,university,QX2080,6,85.3,2,0
SC00441,city center,QX3000,8,74,0,1
SC00442,downtown,QX1010,11,80.5,0,0
SC00443,city center,QX2080,6,93.4,0,0
SC00444,downtown,QX1010,8,65.3,0,0
SC00445,city center,QX1010,5,86.2,0,0
SC00446,downtown,QX2080,2,88.7,0,0
SC00447,downtown,QX3000,6,95.6,0,0
SC00448,university,QX2080,8,84.3,0,0
SC00449,city center,QX1010,7,81.3,0,0
SC00450,city center,QX2080,9,81,0,0
SC00451,university,QX1010,7,74.2,1,0
SC00452,residential,QX3000,7,79.1,0,0
SC00453,city center,QX2080,7,,3,0
SC00454,university,QX1010,10,90.6,0,0
SC00455,waterfront,QX1010,2,88.2,0,0
SC00456,university,QX1010,7,72.6,0,1
SC00457,waterfront,QX3000,2,88.7,0,0
SC00458,residential,QX2080,8,88,1,0
SC00459,downtown,QX2080,9,85.7,0,0
SC00460,city center,QX2080,8,70.2,0,0
SC00461,university,QX2080,4,54.7,0,1
SC00462,waterfront,QX1010,2,87.8,0,0
SC00463,city center,QX3000,4,77.3,0,0
SC00464,downtown,QX1010,8,84.9,0,0
SC00465,university,QX2080,5,88.6,0,0
SC00466,downtown,QX2080,10,86,0,0
SC00467,residential,QX2080,3,96.9,2,0
SC00468,university,QX3000,14,,0,0
SC00469,residential,QX1010,8,94.5,3,1
SC00470,residential,QX2080,4,93,0,0
SC00471,university,QX1010,11,,0,0
SC00472,university,QX2080,13,73.8,1,1
SC00473,residential,QX1010,na,69.4,0,0
SC00474,residential,QX1010,3,100,0,0
SC00475,residential,QX1010,6,81.7,2,0
SC00476,downtown,QX1010,7,90.8,1,0
SC00477,university,QX1010,8,74.9,0,0
SC00478,downtown,QX2080,8,86.3,0,0
SC00479,residential,QX2080,9,56.5,2,0
SC00480,university,QX1010,1,81.7,3,0
SC00481,city center,QX1010,2,83.6,0,0
SC00482,downtown,QX1010,5,85.9,0,0
SC00483,city center,QX2080,na,87.2,1,0
SC00484,residential,QX1010,2,75.1,0,0
SC00485,downtown,QX1010,5,87.6,2,0
SC00486,downtown,QX1010,10,,0,1
SC00487,residential,QX2080,5,100,3,0
SC00488,residential,QX1010,3,89.6,0,0
SC00489,downtwon,QX2080,4,77.4,0,0
SC00490,city center,QX2080,8,67.3,0,0
SC00491,waterfront,QX2080,4,96.8,0,0
SC00492,residential,QX2080,na,85.2,0,0
SC00493,university,QX2080,10,,0,0
SC00494,city center,QX1010,3,69.8,3,0
SC00495,city center,QX2080,4,73.4,0,0
SC00496,downtown,QX2080,7,84.3,2,0
SC00497,residential,QX1010,7,83.4,0,0
SC00498,downtown,QX2080,6,63.2,2,0
SC00499,downtown,QX1010,8,85,0,0
SC00500,residential,QX2080,3,68.8,0,0
SC00501,waterfront,QX2080,3,,0,0
SC00502,residential,QX3000,11,81,0,1
SC00503,city center,QX3000,8,77.7,1,0
SC00504,city center,QX2080,4,89.7,2,0
SC00505,city center,QX2080,4,84.3,1,1
SC00506,city center,QX2080,7,90.2,2,0
SC00507,university,QX1010,4,83.5,1,1
SC00508,city center,QX3000,10,81.2,2,0
SC00509,university,QX2080,2,80.5,1,0
SC00510,residential,QX1010,4,85,0,0
SC00511,waterfront,QX1010,3,98,0,1
SC00512,downtown,QX3000,8,77.3,0,0
SC00513,city center,QX1010,4,88.3,1,0
SC00514,downtown,QX1010,5,74.5,0,0
SC00515,city center,QX1010,9,61.2,0,0
SC00516,city center,QX1010,13,77.4,3,1
SC00517,downtown,QX1010,7,83.5,0,0
SC00518,residential,QX2080,2,82,0,0
SC00519,city center,QX1010,6,68.5,2,0
SC00520,waterfront,QX3000,6,85.8,0,0
SC00521,downtown,QX3000,6,85.5,0,0
SC00522,downtown,QX1010,9,71.2,0,0
SC00523,city center,QX1010,8,68.1,0,0
SC00524,downtown,QX2080,7,76.8,0,0
SC00525,downtown,QX1010,6,86.7,0,1
SC00526,waterfront,QX1010,5,85.5,0,0
SC00527,downtown,QX3000,10,72.5,-2,0
SC00528,downtown,QX3000,8,82.8,0,0
SC00529,university,QX2080,3,89.6,0,0
SC00530,city center,QX1010,8,69.6,0,0
SC00531,university,QX2080,9,77.8,0,0
SC00532,city center,QX2080,7,90.3,0,0
SC00533,residential,QX1010,4,72,0,0
SC00534,downtown,QX2080,4,91.1,0,0
SC00535,city center,QX1010,2,,1,0
SC00536,university,QX1010,10,76.1,0,0
SC00537,residential,QX2080,2,80,2,0
SC00538,city center,QX1010,8,88.4,0,1
SC00539,university,QX1010,5,80.4,1,0
SC00540,downtown,QX3000,9,60.8,0,0
SC00541,downtown,QX3000,4,84,1,0
SC00542,downtown,QX2080,8,82.1,3,0
SC00543,residential,QX3000,5,90.3,0,0
SC00544,city center,QX3000,na,73.3,0,0
SC00545,residential,QX1010,4,80.5,2,0
SC00546,downtown,QX1010,8,87.9,3,1
SC00547,residential,QX1010,7,79.9,1,0
SC00548,residential,QX1010,4,69.8,0,0
SC00549,downtown,QX2080,5,91,0,0
SC00550,downtown,QX1010,8,77.8,0,0
SC00551,downtown,QX2080,12,84.2,4,0
SC00552,residential,QX1010,3,71.7,0,0
SC00553,downtown,QX1010,4,81.8,0,0
SC00554,university,QX3000,6,87.5,0,0
SC00555,city center,QX1010,6,80.5,0,0
SC00556,residential,QX1010,6,71.1,2,0
SC00557,city center,QX1010,3,63.3,0,0
SC00558,university,QX2080,11,88.6,2,0
SC00559,waterfront,QX2080,2,85,0,0
SC00560,downtown,QX2080,8,88,0,0
SC00561,residential,QX1010,na,93.9,0,0
SC00562,downtown,QX1010,4,87.9,0,0
SC00563,city center,QX3000,6,80.5,0,0
SC00564,residential,QX2080,9,81.5,4,0
SC00565,university,QX2080,11,,0,0
SC00566,university,QX2080,13,74.8,0,0
SC00567,downtown,QX2080,5,96.7,2,1
SC00568,city center,QX1010,6,68.5,0,0
SC00569,city center,QX1010,6,67.5,0,0
SC00570,university,QX2080,6,88.1,0,0
SC00571,city center,QX1010,4,75.8,0,0
SC00572,city center,QX3000,9,98.2,0,0
SC00573,city center,QX2080,9,88.7,0,0
SC00574,downtown,QX2080,11,89.2,0,0
SC00575,city center,QX3000,4,92.3,0,0
SC00576,downtown,QX2080,7,71.1,3,0
SC00577,residential,QX3000,5,69.9,2,0
SC00578,university,QX2080,7,91.6,0,0
SC00579,downtown,QX3000,7,69.7,0,0
SC00580,university,QX1010,4,96.3,2,0
SC00581,residential,QX2080,4,87,0,0
SC00582,downtown,QX2080,8,77.5,3,0
SC00583,downtown,QX1010,15,77.8,0,0
SC00584,downtwon,QX1010,6,85.2,0,0
SC00585,downtown,QX3000,6,81.5,0,0
SC00586,residential,QX2080,1,95.8,3,0
SC00587,waterfront,QX1010,4,94.6,0,0
SC00588,downtown,QX1010,11,78.5,0,0
SC00589,residential,QX1010,6,76.1,0,0
SC00590,downtown,QX1010,9,89.9,3,0
SC00591,university,QX3000,4,67.6,0,1
SC00592,residential,QX1010,6,85,4,0
SC00593,city center,QX1010,8,85.9,0,0
SC00594,downtown,QX2080,8,71.1,0,1
SC00595,university,QX1010,7,88.7,0,0
SC00596,waterfront,QX1010,2,84.2,3,0
SC00597,downtown,QX2080,9,72.7,0,0
SC00598,downtown,QX2080,7,87.1,0,1
SC00599,downtown,QX3000,4,75.6,1,0
SC00600,university,QX2080,3,89.5,0,0
SC00601,university,QX2080,6,62.9,0,0
SC00602,residential,QX2080,3,84.5,0,1
SC00603,residential,QX3000,6,83.6,2,1
